Rank,#,Title,Topics,"Rank, ",Difficulty,Time & Space,Status,Next,,,,
1,1,Two Sum,"Array, Hash Table, ","G20, AMZ19, MIC21, APP04, ",Easy,O(n),Complete,4Sum,  Two Summ III – Data Structure Design,  Two Sum iV – Input is a BST,  Two Sum Less Than K,  Max Number of K-Sum Pairs
2,146,LRU Cache,"Design, ","AMZ05, FB45, MIC01, APP01, ",Medium,O(1),Complete,LFU Cache, Design In-Memory File System, Design Compressed String Iterator,,
3,200,Number of Islands,Depth-First Search,"AMZ03, FB75, MIC04, APP09, ",Medium,O(row x col),Complete,Surrounded Regions, Wall and Gates, Number of Islands II,,
4,2,Add Two Numbers,"Linked List, Math, ","AMZ50, MIC24, APP16, ",Medium,O(n),Complete,,,,,
5,91,Decode Ways,"String, Dynamic Programming, Recursion","MIC92, ",Medium,O(n),Complete,Decode Ways II,,,,
6,56,Merge Intervals,"Array, Sort, ","G42, AMZ31, FB29, MIC78, APP22, ",Medium,,,,,,,
7,5,Longest Palindromic Substring,"String, Dynamic Programming, ","AMZ27, MIC11, APP69, ",Medium,,,,,,,
8,3,Longest Substring Without Repeating Characters,"Hash Table, Two Pointers, String, Sliding Window, ","AMZ55, MIC65, APP78, ",Medium,,,,,,,
9,238,Product of Array Except Self,"Array, ","AMZ33, FB06, APP26, ",Medium,,,,,,,
10,121,Best Time to Buy and Sell Stock,"Array, Dynamic Programming, ","AMZ56, MIC56, APP74, ",Easy,,,,,,,
11,53,Maximum Subarray,"Array, Divide and Conquer, Dynamic Programming, ","G47, MIC18, APP46, ",Easy,,,,,,,
12,953,Verifying an Alien Dictionary,"Hash Table, ","FB01, ",Easy,,,,,,,
13,21,Merge Two Sorted Lists,"Linked List, ","AMZ20, ",Easy,,,,,,,
14,15,3Sum,"Array, Two Pointers, ","AMZ58, MIC124, APP57, ",Medium,,,,,,,
15,20,Valid Parentheses,"String, Stack, ","MIC88, APP32, ",Easy,,,,,,,
16,394,Decode String,"Stack, ","G33, AMZ38, MIC89, APP48, ",Medium,O(((max integer in string) ^ (number of integers in string)) * n) where n is length of string. ,,,,,,
17,763,Partition Labels,"Two Pointers, Greedy, ","AMZ01, ",Medium,O(n),Complete,Split Array into Fibonacci Sequence,Two Sun Less Than K,Intersection of Three Sorted Arrays.,,
18,253,Meeting Rooms II,"Heap, Greedy, Sort, ","AMZ21, FB73, APP88, ",Medium,,,,,,,
19,206,Reverse Linked List,"Linked List, ","MIC73, APP24, ",Easy,,,,,,,
20,973,K Closest Points to Origin,"Divide and Conquer, Heap, Sort, ","AMZ09, FB04, APP63, ",Medium,,,,,,,
21,1396,Design Underground System,,,Medium,,,,,,,
22,221,Maximal Square,"Dynamic Programming, ","G84, AMZ12, APP112, ",Medium,,,,,,,
23,560,Subarray Sum Equals K,"Array, Hash Table, ","FB08, ",Medium,,,,,,,
24,380,Insert Delete GetRandom O(1),"Array, Hash Table, Design, ","AMZ24, MIC29, APP111, ",Medium,,,,,,,
25,937,Reorder Data in Log Files,"String, ","AMZ02, ",Easy,,,,,,,
26,31,Next Permutation,"Array, ","G59, FB38, ",Medium,,,,,,,
27,1041,Robot Bounded In Circle,"Math, ","AMZ86, ",Medium,O(n),Complete,Arranging Coins,Minimum Moves to Equal Array Elements,Largest Multiple of Three,,
28,139,Word Break,"Dynamic Programming, ","AMZ43, FB41, MIC48, APP13, ",Medium,,,,,,,
29,1249,Minimum Remove to Make Valid Parentheses,"String, Stack, ","FB02, ",Medium,,,,,,,
30,17,Letter Combinations of a Phone Number,"String, Backtracking, ","AMZ32, MIC25, APP84, ",Medium,,,,,,,
31,54,Spiral Matrix,"Array, ","MIC05, ",Medium,,,,,,,
32,138,Copy List with Random Pointer,"Hash Table, Linked List, ","AMZ10, FB54, MIC62, ",Medium,,,,,,,
33,127,Word Ladder,,"AMZ16, MIC80, ",Medium,,,,,,,
34,11,Container With Most Water,,,Medium,,,,,,,
35,322,Coin Change,,,Medium,,,,,,,
36,547,Friend Circles,,"AMZ13, ",Medium,,,,,,,
37,981,Time Based Key-Value Store,"Hash Table, Binary Search, ","APP15, ",Medium,,,,,,,
38,443,String Compression,"String, ","MIC22, APP14, ",Medium,,,,,,,
39,22,Generate Parentheses,"String, Backtracking, ","MIC98, APP71, ",Medium,,,,,,,
40,79,Word Search,"Array, Backtracking, ","AMZ46, APP101, ",Medium,,,,,,,
41,415,Add Strings,"String, ","FB07, ",Easy,,,,,,,
42,46,Permutations,"Backtracking, ","AMZ69, MIC64, APP31, ",Medium,,,,,,,
43,692,Top K Frequent Words,"Hash Table, Heap, Trie, ","AMZ06, APP70, ",Medium,,,,,,,
44,199,Binary Tree Right Side View,"Tree, ","FB11, ",Medium,,,,,,,
45,7,Reverse Integer,"Math, ","APP85, ",Easy,,,,,,,
46,347,Top K Frequent Elements,"Hash Table, Heap, ","AMZ65, FB61, APP45, ",Medium,,,,,,,
47,215,Kth Largest Element in an Array,"Divide and Conquer, Heap, ","FB17, APP41, ",Medium,,,,,,,
48,49,Group Anagrams,"Hash Table, String, ","AMZ29, APP07, ",Medium,,,,,,,
49,1197,Minimum Knight Moves,,"FB88, ",Medium,,,,,,,
50,33,Search in Rotated Sorted Array,"Array, Binary Search, ","AMZ80, FB87, MIC32, ",Medium,,,,,,,
51,176,Second Highest Salary,,,Easy,,,,,,,
52,1428,Leftmost Column with at Least a One,"Array, ","FB03, ",Medium,,,,,,,
53,528,Random Pick with Weight,"Binary Search, Random, ","G9, FB22, APP08, ",Medium,,,,,,,
54,518,Coin Change 2,,"AMZ73, APP47, ",Medium,,,,,,,
55,767,Reorganize String,"String, Heap, Greedy, Sort, ","G29, AMZ39, MIC16, ",Medium,,,,,,,
56,234,Palindrome Linked List,"Linked List, Two Pointers, ","MIC51, ",Easy,,,,,,,
57,1152,Analyze User Website Visit Pattern,"Array, Hash Table, Sort, ","AMZ04, ",Medium,,,,,,,
58,48,Rotate Image,"Array, ","MIC90, APP49, ",Medium,,,,,,,
59,155,Min Stack,"Stack, Design, ","MIC121, ",Easy,,,,,,,
60,227,Basic Calculator II,"String, Stack, ","AMZ64, FB42, MIC20, APP108, ",Medium,,,,,,,
61,994,Rotting Oranges,,"AMZ17, MIC47, ",Medium,,,,,,,
62,621,Task Scheduler,"Array, Greedy, Queue, ","FB37, ",Medium,,,,,,,
63,88,Merge Sorted Array,"Array, Two Pointers, ","FB21, MIC38, ",Easy,,,,,,,
64,1283,Find the Smallest Divisor Given a Threshold,,,Medium,,,,,,,
65,105,Construct Binary Tree from Preorder and Inorder Traversal,"Array, Tree, ","AMZ40, APP89, ",Medium,,,,,,,
66,152,Maximum Product Subarray,,,Medium,,,,,,,
67,445,Add Two Numbers II,"Linked List, ","MIC09, APP96, ",Medium,,,,,,,
68,706,Design HashMap,"Hash Table, Design, ","AMZ68, MIC96, APP28, ",Easy,,,,,,,
69,236,Lowest Common Ancestor of a Binary Tree,"Tree, ","AMZ51, FB49, MIC104, ",Medium,,,,,,,
70,695,Max Area of Island,"Array, ","G25, FB77, ",Medium,,,,,,,
71,1209,Remove All Adjacent Duplicates in String II,"Stack, ","AMZ79, ",Medium,,,,,,,
72,14,Longest Common Prefix,"String, ","APP40, ",Easy,,,,,,,
73,92,Reverse Linked List II,"Linked List, ","MIC119, ",Medium,,,,,,,
74,6,ZigZag Conversion,,,Medium,,,,,,,
75,811,Subdomain Visit Count,,,Easy,,,,,,,
76,680,Valid Palindrome II,"String, ","FB05, ",Easy,,,,,,,
77,67,Add Binary,"Math, String, ","FB09, ",Easy,,,,,,,
78,362,Design Hit Counter,"Design, ","AMZ52, MIC57, APP10, ",Medium,,,,,,,
79,532,K-diff Pairs in an Array,,,Medium,,,,,,,
80,412,Fizz Buzz,,"MIC102, ",Easy,,,,,,,
81,13,Roman to Integer,"Math, String, ","MIC100, APP118, ",Easy,,,,,,,
82,283,Move Zeroes,,,Easy,,,,,,,
83,442,Find All Duplicates in an Array,"Array, ","MIC60, ",Medium,,,,,,,
84,739,Daily Temperatures,,,Medium,,,,,,,
85,211,Design Add and Search Words Data Structure,"Backtracking, ","AMZ67, FB13, APP103, ",Medium,,,,,,,
86,526,Beautiful Arrangement,,,Medium,,,,,,,
87,125,Valid Palindrome,"Two Pointers, String, ","FB14, APP113, ",Easy,,,,,,,
88,387,First Unique Character in a String,"Hash Table, String, ","APP56, ",Easy,,,,,,,
89,1480,Running Sum of 1d Array,"Array, ","APP52, ",Easy,,,,,,,
90,863,All Nodes Distance K in Binary Tree,"Tree, ","AMZ18, FB83, APP90, ",Medium,,,,,,,
91,64,Minimum Path Sum,,,Medium,,,,,,,
92,987,Vertical Order Traversal of a Binary Tree,"Hash Table, Tree, ","FB26, MIC103, APP53, ",Medium,,,,,,,
93,78,Subsets,"Array, Backtracking, Bit Manipulation, ","FB74, MIC125, APP104, ",Medium,,,,,,,
94,1472,Design Browser History,,,Medium,,,,,,,
95,348,Design Tic-Tac-Toe,"Design, ","AMZ23, MIC34, APP05, ",Medium,,,,,,,
96,202,Happy Number,"Hash Table, Math, ","APP37, ",Easy,,,,,,,
97,332,Reconstruct Itinerary,,,Medium,,,,,,,
98,509,Fibonacci Number,,,Easy,,,,,,,
99,453,Minimum Moves to Equal Array Elements,,,Easy,,,,,,,
100,289,Game of Life,"Array, ","MIC127, ",Medium,,,,,,,
101,300,Longest Increasing Subsequence,"Binary Search, Dynamic Programming, ","APP66, ",Medium,,,,,,,
102,287,Find the Duplicate Number,"Array, Two Pointers, Binary Search, ","MIC17, APP72, ",Medium,,,,,,,
103,103,Binary Tree Zigzag Level Order Traversal,"Stack, Tree, ","AMZ30, MIC61, APP94, ",Medium,,,,,,,
104,721,Accounts Merge,,"AMZ66, FB12, ",Medium,,,,,,,
